                                      mean               stddev                  min                  max
Corp-Aaa_Corp                     2.968338             0.703585             1.822678             6.426049
Market-RMRF-diff                126.000000            -0.004163            10.017604           -29.216700            -4.734600            -0.742600             6.015075            27.959700
Market-SP500-diff               126.000000             0.292620           107.043474          -305.200200           -55.324925            -2.249850            53.182675           450.569800
Econ-UNRATE-diff                126.000000            -0.003968             0.211812            -0.900000            -0.100000             0.000000             0.100000             0.600000
Econ-DSPIC96-diff               126.000000             1.534921           129.789112        -1,072.700000           -23.400000             6.300000            32.600000           687.900000
Econ-CPIAUCSL-diff              126.000000            -0.004484             0.539995            -1.913000            -0.304500            -0.006500             0.301000             2.100000
Econ-CPILFESL-diff              126.000000             0.001167             0.177418            -0.561000            -0.104250             0.010000             0.114500             0.378000
Econ-INDPRO-diff                126.000000             0.010265             0.663901            -1.828800            -0.395575            -0.002050             0.383575             1.665200
Econ-PCE-diff                   126.000000             0.442857            50.757728          -196.900000           -29.175000            -4.150000            29.400000           196.400000
Market-SP500-pc-delta           126.000000             0.000729             0.057872            -0.116227            -0.037398            -0.002483             0.029180             0.195336
                                      mean               stddev                  min                  max
Corp-Aaa_Corp                     2.943378             0.362374             2.197085             3.832769
Corp-Aa_Corp                      2.641910             0.438673             1.981135             3.705818
Corp-A_Corp                       3.052472             0.403544             2.442585             4.090514
Corp-Baa_Corp                     3.738058             0.391305             3.193037             4.722313
TB-3MO-TY                         0.849403             0.882948             0.000000             2.450000
TB-1YR-TY                         1.075448             0.888155             0.090000             2.700000
TB-5YR-TY                         1.852164             0.514275             1.010000             2.980000
Econ-UNRATE                       4.744776             0.827743             3.600000             6.700000
Econ-DSPIC96                 13,843.270149           672.378501        12,601.100000        15,021.200000
Econ-CPIAUCSL                   243.605597             6.672916           234.747000           256.294000
Econ-CPILFESL                   249.419179             8.089439           236.185000           264.180000
Econ-INDPRO                     105.455203             2.686889           101.415500           110.551600
Econ-PCE                     13,047.016418           891.865894        11,574.500000        14,682.400000
Market-SP500                  2,338.706728           346.217549         1,859.450000         2,980.379900
Market-SP500-change               0.797736             3.313255            -9.177700             8.298300
Market-RMRF                      -0.051667             3.438628           -11.547700             8.298300
CS-Aaa-3MO                        2.093955             0.636480             0.653000             2.959000
CS-Aa-3MO                         1.792493             0.553504             0.468000             2.542000
CS-A-3MO                          2.203075             0.611432             0.762000             3.026000
CS-Baa-3MO                        2.888672             0.735119             1.359000             4.130000
CS-Aaa-1YR                        1.867910             0.616996             0.781000             2.775000
CS-Aa-1YR                         1.566448             0.528147             0.608000             2.256000
CS-A-1YR                          1.977030             0.588617             0.896000             2.756000
CS-Baa-1YR                        2.662627             0.715054             1.463000             3.857000
CS-Aaa-5YR                        1.091194             0.221195             0.664000             1.465000
CS-Aa-5YR                         0.789731             0.176041             0.430000             1.299000
CS-A-5YR                          1.200313             0.211480             0.742000             1.814000
CS-Baa-5YR                        1.885910             0.392368             1.188000             3.033000
CS-Aaa-3MO-diff                  -0.027343             0.126484            -0.396000             0.257000
CS-Aa-3MO-diff                   -0.027343             0.126484            -0.396000             0.257000
CS-A-3MO-diff                    -0.030657             0.128358            -0.312000             0.285000
CS-Baa-3MO-diff                  -0.034821             0.139154            -0.341000             0.291000
CS-Aaa-1YR-diff                  -0.025254             0.100196            -0.346000             0.257000
CS-Aa-1YR-diff                   -0.025254             0.100196            -0.346000             0.257000
CS-A-1YR-diff                    -0.028567             0.103500            -0.262000             0.285000
CS-Baa-1YR-diff                  -0.032731             0.126322            -0.431000             0.287000
CS-Aaa-5YR-diff                   0.001313             0.092546            -0.217000             0.308000
CS-Aa-5YR-diff                    0.001313             0.092546            -0.217000             0.308000
CS-A-5YR-diff                    -0.002000             0.103769            -0.230000             0.310000
CS-Baa-5YR-diff                  -0.006164             0.145892            -0.451000             0.467000
TB-3MO-TY-diff                    0.030000             0.077383            -0.230000             0.230000
TB-1YR-TY-diff                    0.027910             0.094226            -0.290000             0.190000
TB-5YR-TY-diff                    0.001343             0.181200            -0.470000             0.520000
Market-RMRF-diff                 -0.003894             5.278386           -10.993600            16.966100
Market-SP500-diff                17.072687            81.418047          -253.319800           197.250000
Econ-UNRATE-diff                 -0.043284             0.131834            -0.500000             0.200000
Econ-DSPIC96-diff                37.274627            32.332934           -39.500000           140.100000
Econ-CPIAUCSL-diff                0.313522             0.445850            -1.505000             1.141000
Econ-CPILFESL-diff                0.421179             0.145318            -0.093000             0.726000
Econ-INDPRO-diff                  0.107448             0.529216            -0.858400             1.578500
Econ-PCE-diff                    47.443284            37.018689          -117.400000           138.000000
Market-SP500-pc-delta             0.007977             0.033133            -0.091777             0.082983


                                      mean               stddev                  min                  max
Corp-Aaa_Corp                     2.943378             0.362374             2.197085             3.832769
