                             Corp-Aaa_Corp_x       Corp-Aa_Corp_x        Corp-A_Corp_x      Corp-Baa_Corp_x          TB-3MO-TY_x          TB-1YR-TY_x          TB-5YR-TY_x        Econ-UNRATE_x       Econ-DSPIC96_x      Econ-CPIAUCSL_x      Econ-CPILFESL_x        Econ-INDPRO_x           Econ-PCE_x       Market-SP500_x  Market-SP500-change_x        Market-RMRF_x         CS-Aaa-3MO_x          CS-Aa-3MO_x           CS-A-3MO_x         CS-Baa-3MO_x         CS-Aaa-1YR_x          CS-Aa-1YR_x           CS-A-1YR_x         CS-Baa-1YR_x         CS-Aaa-5YR_x          CS-Aa-5YR_x           CS-A-5YR_x         CS-Baa-5YR_x    CS-Aaa-3MO-diff_x     CS-Aa-3MO-diff_x      CS-A-3MO-diff_x    CS-Baa-3MO-diff_x    CS-Aaa-1YR-diff_x     CS-Aa-1YR-diff_x      CS-A-1YR-diff_x    CS-Baa-1YR-diff_x    CS-Aaa-5YR-diff_x     CS-Aa-5YR-diff_x      CS-A-5YR-diff_x    CS-Baa-5YR-diff_x     TB-3MO-TY-diff_x     TB-1YR-TY-diff_x     TB-5YR-TY-diff_x   Market-RMRF-diff_x  Market-SP500-diff_x   Econ-UNRATE-diff_x  Econ-DSPIC96-diff_x  Econ-CPIAUCSL-diff_x  Econ-CPILFESL-diff_x   Econ-INDPRO-diff_x      Econ-PCE-diff_x  Market-SP500-pc-delta_x
CS-Aaa-1YR-diff_y                   0.000000             0.000000             0.000000             0.000000             0.152700             0.340700             0.097000             0.006600             0.018900             0.089400             0.008600             0.031100             0.213400             0.184100               0.030600             0.035500             0.000000             0.000100             0.000200             0.000100             0.000000             0.001000             0.000200             0.000200             0.000000             0.000000             0.000000             0.000000             0.047800             0.047800             0.069200             0.020900             1.000000             1.000000             0.011900             0.000300             0.143600             0.143600             0.039400             0.058100             0.117200             0.196400             0.135000             0.068700             0.237700             0.003100             0.013400              0.111200              0.002300             0.057300             0.156400                 0.030600
CS-Aa-1YR-diff_y                    0.000000             0.000000             0.000000             0.000000             0.152700             0.340700             0.097000             0.006600             0.018900             0.089400             0.008600             0.031100             0.213400             0.184100               0.030600             0.035500             0.000000             0.000100             0.000200             0.000100             0.000000             0.001000             0.000200             0.000200             0.000000             0.000000             0.000000             0.000000             0.047800             0.047800             0.069200             0.020900             1.000000             1.000000             0.011900             0.000300             0.143600             0.143600             0.039400             0.058100             0.117200             0.196400             0.135000             0.068700             0.237700             0.003100             0.013400              0.111200              0.002300             0.057300             0.156400                 0.030600
CS-A-1YR-diff_y                     0.000000             0.000000             0.000000             0.000000             0.145200             0.261600             0.060100             0.007000             0.015400             0.081900             0.094800             0.004500             0.211300             0.018500               0.000000             0.000100             0.000000             0.000000             0.000000             0.000000             0.000000             0.000100             0.000200             0.000000             0.000000             0.000000             0.000000             0.000000             0.011000             0.011000             0.019600             0.005500             0.054800             0.054800             1.000000             0.003500             0.037600             0.037600             0.050100             0.064500             0.105900             0.070900             0.050600             0.002900             0.012600             0.006000             0.013500              0.229000              0.029800             0.007900             0.136200                 0.000000
CS-Baa-1YR-diff_y                   0.000000             0.000000             0.000000             0.000000             0.228600             0.047000             0.030500             0.005000             0.045600             0.048000             0.089500             0.001900             0.120600             0.001500               0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000300             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.001500             0.001500             0.001000             0.000600             0.065700             0.065700             0.000600             1.000000             0.053500             0.053500             0.027600             0.037400             0.143200             0.006500             0.030100             0.000000             0.002000             0.001800             0.029300              0.612900              0.032400             0.070100             0.045100                 0.000000
CS-Aaa-5YR-diff_y                   0.000000             0.000200             0.000000             0.000000             0.307900             0.002400             0.000100             0.000000             0.209700             0.086100             0.192100             0.000000             0.033300             0.000000               0.000000             0.000000             0.000000             0.000400             0.000100             0.000000             0.000000             0.000800             0.000100             0.000000             0.000000             0.000000             0.000000             0.000000             0.000500             0.000500             0.000900             0.000300             0.000500             0.000500             0.003400             0.002500             1.000000             1.000000             0.000000             0.000000             0.106000             0.000100             0.000300             0.000000             0.000000             0.000000             0.491600              0.286700              0.232500             0.000200             0.005500                 0.000000
CS-Aa-5YR-diff_y                    0.000000             0.000200             0.000000             0.000000             0.307900             0.002400             0.000100             0.000000             0.209700             0.086100             0.192100             0.000000             0.033300             0.000000               0.000000             0.000000             0.000000             0.000400             0.000100             0.000000             0.000000             0.000800             0.000100             0.000000             0.000000             0.000000             0.000000             0.000000             0.000500             0.000500             0.000900             0.000300             0.000500             0.000500             0.003400             0.002500             1.000000             1.000000             0.000000             0.000000             0.106000             0.000100             0.000300             0.000000             0.000000             0.000000             0.491600              0.286700              0.232500             0.000200             0.005500                 0.000000
CS-A-5YR-diff_y                     0.000000             0.000100             0.000000             0.000000             0.295400             0.001000             0.000200             0.000100             0.118300             0.028400             0.118500             0.000000             0.050500             0.000000               0.000000             0.000000             0.000000             0.000100             0.000000             0.000000             0.000000             0.000700             0.000100             0.000000             0.000000             0.000000             0.000000             0.000000             0.000200             0.000200             0.000000             0.000000             0.002800             0.002800             0.000400             0.000900             0.013200             0.013200             1.000000             0.000000             0.041300             0.000000             0.000000             0.000000             0.000000             0.000000             0.250700              0.163100              0.587100             0.000400             0.012600                 0.000000
CS-Baa-5YR-diff_y                   0.000000             0.000200             0.000000             0.000000             0.237400             0.000200             0.000200             0.000100             0.176500             0.043400             0.163600             0.000000             0.045600             0.000000               0.000000             0.000000             0.000000             0.000400             0.000000             0.000000             0.000000             0.001600             0.000200             0.000000             0.000000             0.000000             0.000000             0.000000             0.000300             0.000300             0.000100             0.000000             0.004400             0.004400             0.001800             0.001500             0.000100             0.000100             0.000000             1.000000             0.047300             0.000000             0.000000             0.000000             0.000000             0.000000             0.356000              0.229000              0.227800             0.000000             0.003700                 0.000000
TB-3MO-TY-diff_y                    0.036000             0.010600             0.023300             0.020400             0.152300             0.000000             0.070500             0.003000             0.005200             0.007800             0.004600             0.016200             0.004700             0.003200               0.123400             0.131900             0.001100             0.003300             0.004100             0.027500             0.041900             0.029600             0.023400             0.013400             0.033200             0.015300             0.011900             0.008100             0.012000             0.012000             0.010000             0.022600             0.114200             0.114200             0.151200             0.129800             0.284100             0.284100             0.424500             0.175900             1.000000             0.000000             0.063600             0.061400             0.012200             0.051100             0.252400              0.355500              0.025500             0.013000             0.008300                 0.123400
TB-1YR-TY-diff_y                    0.038800             0.046900             0.016500             0.005100             0.000000             0.421400             0.401700             0.012600             0.058200             0.055000             0.046500             0.123000             0.007300             0.001100               0.006900             0.000400             0.018500             0.035900             0.019000             0.010800             0.018000             0.059800             0.033000             0.016900             0.001300             0.028400             0.015000             0.008700             0.058400             0.058400             0.039000             0.030600             0.116800             0.116800             0.225300             0.067600             0.042200             0.042200             0.133500             0.048400             0.000100             1.000000             0.252600             0.016900             0.001100             0.240500             0.529400              0.277300              0.600700             0.252000             0.006300                 0.006900
